country_name,ladder_score,standard_error_of_ladder_score,upperwhisker,lowerwhisker,logged_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,ladder_score_in_dystopia,explained_by_log_gdp_per_capita,explained_by_social_support,explained_by_healthy_life_expectancy,explained_by_freedom_to_make_life_choices,explained_by_generosity,explained_by_perceptions_of_corruption,dystopia_+_residual,is_saarc,region
Finland,7.804200172424316,0.0361623615026474,7.875078201293945,7.7333221435546875,10.792010307312012,0.9687696099281311,71.14999389648438,0.9614078998565674,-0.01882416568696499,0.1817445605993271,1.777825117111206,1.8883804082870483,1.584899663925171,0.5345736742019653,0.7715099453926086,0.12633119523525238,0.5352985858917236,2.363241195678711,0,Western Europe
Denmark,7.586400032043457,0.04102794826030731,7.666814804077148,7.505985260009766,10.962163925170898,0.9541122317314148,71.2501449584961,0.9335328340530396,0.13424216210842133,0.19581389427185059,1.777825117111206,1.949405550956726,1.5478748083114624,0.5373024940490723,0.7344158887863159,0.20845851302146912,0.5252211689949036,2.0837655067443848,0,Western Europe
Iceland,7.529600143432617,0.04861151799559593,7.624878883361816,7.434321403503418,10.895530700683594,0.9825330972671509,72.05001831054688,0.9363492131233215,0.21098653972148895,0.6678478121757507,1.777825117111206,1.925507664680481,1.6196664571762085,0.5590963959693909,0.7381637096405029,0.2496354877948761,0.1871187835931778,2.250382423400879,0,Western Europe
Israel,7.472899913787842,0.031608857214450836,7.534853458404541,7.410946369171143,10.638705253601074,0.943343997001648,72.69720458984375,0.8088658452033997,-0.023080050945281982,0.7080935835838318,1.777825117111206,1.8333979845046997,1.5206738710403442,0.5767300128936768,0.5685182809829712,0.12404771149158478,0.15829205513000488,2.6912899017333984,0,Middle East and Northern Africa
Netherlands,7.4029998779296875,0.02929418534040451,7.460416316986084,7.345583438873291,10.942278861999512,0.9304993152618408,71.55001831054688,0.8868750929832458,0.21268615126609802,0.3789292871952057,1.777825117111206,1.9422738552093506,1.4882279634475708,0.545473039150238,0.6723272204399109,0.2505474090576172,0.3940616548061371,2.110043525695801,0,Western Europe
Sweden,7.395199775695801,0.0373615100979805,7.468428134918213,7.321971416473389,10.88282299041748,0.9392486810684204,72.15015411376953,0.9479710459709167,0.16478857398033142,0.20244838297367096,1.777825117111206,1.920950174331665,1.510329008102417,0.5618247389793396,0.753629207611084,0.22484809160232544,0.5204691290855408,1.9031271934509277,0,Western Europe
Norway,7.315499782562256,0.04414277896285057,7.402019500732422,7.22898006439209,11.087730407714844,0.9434765577316284,71.5000228881836,0.9466164112091064,0.14063605666160583,0.28274470567703247,1.777825117111206,1.9944396018981934,1.5210087299346924,0.5441108345985413,0.7518265247344971,0.2118891179561615,0.4629554748535156,1.829270362854004,0,Western Europe
Switzerland,7.240099906921387,0.04278871417045593,7.323965549468994,7.156234264373779,11.164027214050293,0.9204392433166504,72.89995574951172,0.8910744190216064,0.026686418801546097,0.26634758710861206,1.777825117111206,2.021803140640259,1.4628159999847412,0.5822543501853943,0.6779153347015381,0.15074977278709412,0.4747002124786377,1.8698468208312988,0,Western Europe
Luxembourg,7.22790002822876,0.06908052414655685,7.363297939300537,7.092502117156982,11.65994930267334,0.878500759601593,71.67500305175781,0.9149384498596191,0.023949623107910156,0.34497830271720886,1.777825117111206,2.199664354324341,1.3568785190582275,0.5488784313201904,0.7096718549728394,0.1492813527584076,0.4183795750141144,1.8451805114746094,0,Western Europe
New Zealand,7.122900009155273,0.03822679817676544,7.197824478149414,7.047975540161133,10.661865234375,0.9523983597755432,70.35005187988281,0.8865742683410645,0.17482823133468628,0.27120545506477356,1.777825117111206,1.841704249382019,1.5435456037521362,0.5127779245376587,0.6719269156455994,0.23023483157157898,0.4712207019329071,1.8515191078186035,0,Australia and New Zealand
Austria,7.097300052642822,0.04040108621120453,7.176486015319824,7.01811408996582,10.898905754089355,0.8884358406066895,71.1500473022461,0.8547372817993164,0.10160446912050247,0.4967743754386902,1.777825117111206,1.9267181158065796,1.381974697113037,0.5345751643180847,0.6295605897903442,0.19094683229923248,0.30965307354927063,2.1238961219787598,0,Western Europe
Australia,7.094600200653076,0.04354966804385185,7.179957389831543,7.009243011474609,10.821048736572266,0.9338704347610474,71.04994201660156,0.890199601650238,0.19756107032299042,0.4959157407283783,1.777825117111206,1.8987950086593628,1.4967434406280518,0.5318475961685181,0.6767511963844299,0.24243208765983582,0.3102680742740631,1.9377427101135254,0,Australia and New Zealand
Canada,6.960700035095215,0.041662633419036865,7.042358875274658,6.8790411949157715,10.772655487060547,0.9287933111190796,71.40003967285156,0.8744681477546692,0.15254651010036469,0.42021140456199646,1.777825117111206,1.8814388513565063,1.48391854763031,0.541386604309082,0.6558169722557068,0.2182796448469162,0.36449259519577026,1.8153767585754395,0,North America
Ireland,6.910799980163574,0.04353392496705055,6.996126651763916,6.825473308563232,11.527361869812012,0.905368447303772,71.29995727539062,0.8743810653686523,0.09165952354669571,0.3579522371292114,1.777825117111206,2.1521122455596924,1.4247467517852783,0.5386596918106079,0.6557011008262634,0.18561090528964996,0.40908679366111755,1.544905185699463,0,Western Europe
United States,6.893700122833252,0.04692301154136658,6.985669136047363,6.801731109619141,11.048249244689941,0.9191621541976929,65.85025024414062,0.8004881143569946,0.1365049034357071,0.6885946989059448,1.777825117111206,1.980279803276062,1.459589958190918,0.3901733458042145,0.5573698282241821,0.20967255532741547,0.17225846648216248,2.1243481636047363,0,North America
